_______X_ W: 5101, L: 22321, T: 2587
____O_XX_ W: 5101, L: 22321, T: 2587
O_X_O_XX_ W: 5101, L: 22321, T: 2587
O_XXOOXX_ W: 5101, L: 22321, T: 2587
______X__ W: 5101, L: 22321, T: 2587
_O__X_X__ W: 5101, L: 22321, T: 2587
X________ W: 5101, L: 22321, T: 2587
XOX______ W: 5101, L: 22321, T: 2587
XOX_O__X_ W: 5101, L: 22321, T: 2587
XOXOO__XX W: 5101, L: 22321, T: 2587
_X_______ W: 5101, L: 22321, T: 2587
_X_X_O___ W: 5101, L: 22321, T: 2587
_X_X_OO_X W: 5101, L: 22321, T: 2587
OX_X_OOXX W: 5101, L: 22321, T: 2587
__X______ W: 5101, L: 22321, T: 2587
_OX_X____ W: 5101, L: 22321, T: 2587
XOX_XO___ W: 5101, L: 22321, T: 2587
XOXXXOO__ W: 5101, L: 22321, T: 2587
________X W: 5101, L: 22321, T: 2587
X__O____X W: 5101, L: 22321, T: 2587
XX_OO___X W: 5101, L: 22321, T: 2587
O______XX W: 5101, L: 22321, T: 2587
OX____OXX W: 5101, L: 22321, T: 2587
OXO__XOXX W: 5101, L: 22321, T: 2587
X___OX___ W: 5101, L: 22321, T: 2587
X_XOOX___ W: 5101, L: 22321, T: 2587
XOXOOXX__ W: 5101, L: 22321, T: 2587
XX_X_O_O_ W: 5101, L: 22321, T: 2587
_O____XX_ W: 5101, L: 22321, T: 2587
XO____XXO W: 5101, L: 22321, T: 2587
XO__OXXXO W: 5101, L: 22321, T: 2587
X_XO_____ W: 5101, L: 22321, T: 2587
XOXO__X__ W: 5101, L: 22321, T: 2587
XOXO____X W: 5101, L: 22321, T: 2587
___X_____ W: 5101, L: 22321, T: 2587
X__XO____ W: 5101, L: 22321, T: 2587
X_OXO___X W: 5101, L: 22321, T: 2587
XOOXOX__X W: 5101, L: 22321, T: 2587
X____XO__ W: 5101, L: 22321, T: 2587
XOX__XO__ W: 5101, L: 22321, T: 2587
X_X__O___ W: 5101, L: 22321, T: 2587
X_X__OX_O W: 5101, L: 22321, T: 2587
