_________ W: 58392, L: 28326, T: 13291
___X_O___ W: 58392, L: 28326, T: 13291
___XXOO__ W: 58392, L: 28326, T: 13291
_O_XXOOX_ W: 58392, L: 28326, T: 13291
XO_XXOOXO W: 58392, L: 28326, T: 13291
O______X_ W: 58392, L: 28326, T: 13291
O_O____XX W: 58392, L: 28326, T: 13291
O_OX_O_XX W: 58392, L: 28326, T: 13291
OXOX_OOXX W: 58392, L: 28326, T: 13291
______OX_ W: 58392, L: 28326, T: 13291
_X_O__OX_ W: 58392, L: 28326, T: 13291
_____O_X_ W: 58392, L: 28326, T: 13291
XO___O_X_ W: 58392, L: 28326, T: 13291
XO__OO_XX W: 58392, L: 28326, T: 13291
XO_XOOOXX W: 58392, L: 28326, T: 13291
O_X______ W: 58392, L: 28326, T: 13291
OXX_O____ W: 58392, L: 28326, T: 13291
OXX_O__OX W: 58392, L: 28326, T: 13291
OXXXO_OOX W: 58392, L: 28326, T: 13291
_O______X W: 58392, L: 28326, T: 13291
_O____XOX W: 58392, L: 28326, T: 13291
XO_O__XOX W: 58392, L: 28326, T: 13291
XOOO_XXOX W: 58392, L: 28326, T: 13291
O_OX___X_ W: 58392, L: 28326, T: 13291
X____O___ W: 58392, L: 28326, T: 13291
XO___O__X W: 58392, L: 28326, T: 13291
XO_X_OO_X W: 58392, L: 28326, T: 13291
_O__X____ W: 58392, L: 28326, T: 13291
_O__XX__O W: 58392, L: 28326, T: 13291
_OX_XXO_O W: 58392, L: 28326, T: 13291
_______OX W: 58392, L: 28326, T: 13291
_X__O__OX W: 58392, L: 28326, T: 13291
_XOXO__OX W: 58392, L: 28326, T: 13291
XXOXOO_OX W: 58392, L: 28326, T: 13291
X___O____ W: 58392, L: 28326, T: 13291
XX_OO____ W: 58392, L: 28326, T: 13291
XX_OO_XO_ W: 58392, L: 28326, T: 13291
XXOOOXXO_ W: 58392, L: 28326, T: 13291
__OX_____ W: 58392, L: 28326, T: 13291
_XOX_O___ W: 58392, L: 28326, T: 13291
_XOXXOO__ W: 58392, L: 28326, T: 13291
_XOXXOOOX W: 58392, L: 28326, T: 13291
____O_X__ W: 58392, L: 28326, T: 13291
___XOOX__ W: 58392, L: 28326, T: 13291
_XOXOOX__ W: 58392, L: 28326, T: 13291
OXOXOOXX_ W: 58392, L: 28326, T: 13291
____O__X_ W: 58392, L: 28326, T: 13291
O_X_O__X_ W: 58392, L: 28326, T: 13291
O_X_OXOX_ W: 58392, L: 28326, T: 13291
_X__O____ W: 58392, L: 28326, T: 13291
_X__OXO__ W: 58392, L: 28326, T: 13291
_______XO W: 58392, L: 28326, T: 13291
X____O_XO W: 58392, L: 28326, T: 13291
XX___OOXO W: 58392, L: 28326, T: 13291
XO_______ W: 58392, L: 28326, T: 13291
XO___XO__ W: 58392, L: 28326, T: 13291
XO__XXO_O W: 58392, L: 28326, T: 13291
XOO_XXOXO W: 58392, L: 28326, T: 13291
___O__X__ W: 58392, L: 28326, T: 13291
___O_OXX_ W: 58392, L: 28326, T: 13291
_XOO_OXX_ W: 58392, L: 28326, T: 13291
______XO_ W: 58392, L: 28326, T: 13291
___O_XXO_ W: 58392, L: 28326, T: 13291
X__O_XXOO W: 58392, L: 28326, T: 13291
XOXO_XXOO W: 58392, L: 28326, T: 13291
_X_O_____ W: 58392, L: 28326, T: 13291
_XXO__O__ W: 58392, L: 28326, T: 13291
O_XO_XXO_ W: 58392, L: 28326, T: 13291
___X____O W: 58392, L: 28326, T: 13291
O__X__X_O W: 58392, L: 28326, T: 13291
O__X_XXOO W: 58392, L: 28326, T: 13291
OOXX_XXOO W: 58392, L: 28326, T: 13291
____X___O W: 58392, L: 28326, T: 13291
__O_X__XO W: 58392, L: 28326, T: 13291
XO__XO___ W: 58392, L: 28326, T: 13291
_X____O__ W: 58392, L: 28326, T: 13291
_X_X_OO__ W: 58392, L: 28326, T: 13291
_XXX_OOO_ W: 58392, L: 28326, T: 13291
___XO_X_O W: 58392, L: 28326, T: 13291
__X___O__ W: 58392, L: 28326, T: 13291
_OX___OX_ W: 58392, L: 28326, T: 13291
_OX__XOXO W: 58392, L: 28326, T: 13291
OOXX_XOXO W: 58392, L: 28326, T: 13291
_____X_O_ W: 58392, L: 28326, T: 13291
_OX__X_O_ W: 58392, L: 28326, T: 13291
_OX__XXOO W: 58392, L: 28326, T: 13291
__X____O_ W: 58392, L: 28326, T: 13291
__X_X__OO W: 58392, L: 28326, T: 13291
XOX_X__OO W: 58392, L: 28326, T: 13291
XOXOXX_OO W: 58392, L: 28326, T: 13291
___O___X_ W: 58392, L: 28326, T: 13291
___OO__XX W: 58392, L: 28326, T: 13291
__X_____O W: 58392, L: 28326, T: 13291
X_X____OO W: 58392, L: 28326, T: 13291
X_X__OXOO W: 58392, L: 28326, T: 13291
O__X___XO W: 58392, L: 28326, T: 13291
_OXO__X__ W: 58392, L: 28326, T: 13291
XOXO_OX__ W: 58392, L: 28326, T: 13291
X_O______ W: 58392, L: 28326, T: 13291
XXO___O__ W: 58392, L: 28326, T: 13291
XXOX__OO_ W: 58392, L: 28326, T: 13291
___O_X___ W: 58392, L: 28326, T: 13291
X__O_XO__ W: 58392, L: 28326, T: 13291
X_XOOXO__ W: 58392, L: 28326, T: 13291
XOXOOXOX_ W: 58392, L: 28326, T: 13291
____X__O_ W: 58392, L: 28326, T: 13291
____XX_OO W: 58392, L: 28326, T: 13291
___OXXXOO W: 58392, L: 28326, T: 13291
X_OOXXXOO W: 58392, L: 28326, T: 13291
__O___X__ W: 58392, L: 28326, T: 13291
O_O___XX_ W: 58392, L: 28326, T: 13291
_O__X_O_X W: 58392, L: 28326, T: 13291
_OX_X_OOX W: 58392, L: 28326, T: 13291
___XO____ W: 58392, L: 28326, T: 13291
_O__O_XX_ W: 58392, L: 28326, T: 13291
OO__OXXX_ W: 58392, L: 28326, T: 13291
______X_O W: 58392, L: 28326, T: 13291
O_OXX_X_O W: 58392, L: 28326, T: 13291
_O_X_____ W: 58392, L: 28326, T: 13291
_O_X__OX_ W: 58392, L: 28326, T: 13291
_OOX__OXX W: 58392, L: 28326, T: 13291
X____OOX_ W: 58392, L: 28326, T: 13291
X__X_OOXO W: 58392, L: 28326, T: 13291
XX_XOOOXO W: 58392, L: 28326, T: 13291
__O_X____ W: 58392, L: 28326, T: 13291
__OOXX___ W: 58392, L: 28326, T: 13291
__OOXX_XO W: 58392, L: 28326, T: 13291
X_OOXXOXO W: 58392, L: 28326, T: 13291
_X_____O_ W: 58392, L: 28326, T: 13291
_XOX___O_ W: 58392, L: 28326, T: 13291
_XOXXO_O_ W: 58392, L: 28326, T: 13291
OXOXXOXO_ W: 58392, L: 28326, T: 13291
_X______O W: 58392, L: 28326, T: 13291
_XO__X__O W: 58392, L: 28326, T: 13291
XXO__XO_O W: 58392, L: 28326, T: 13291
__O__X___ W: 58392, L: 28326, T: 13291
__OO_XX__ W: 58392, L: 28326, T: 13291
__OOXXX_O W: 58392, L: 28326, T: 13291
_OOOXXXXO W: 58392, L: 28326, T: 13291
__X__OX_O W: 58392, L: 28326, T: 13291
_OXX_OX_O W: 58392, L: 28326, T: 13291
XXO_O____ W: 58392, L: 28326, T: 13291
O_O__X_X_ W: 58392, L: 28326, T: 13291
O_OX_X_XO W: 58392, L: 28326, T: 13291
OXOX_XOXO W: 58392, L: 28326, T: 13291
__O____X_ W: 58392, L: 28326, T: 13291
_OO____XX W: 58392, L: 28326, T: 13291
_OO_XO_XX W: 58392, L: 28326, T: 13291
_X___O___ W: 58392, L: 28326, T: 13291
_XX__OO__ W: 58392, L: 28326, T: 13291
OXXX_OO__ W: 58392, L: 28326, T: 13291
OXXXOOO_X W: 58392, L: 28326, T: 13291
_XO______ W: 58392, L: 28326, T: 13291
_XO_X_O__ W: 58392, L: 28326, T: 13291
OXO_XXO__ W: 58392, L: 28326, T: 13291
OXO_XXOOX W: 58392, L: 28326, T: 13291
__X__O___ W: 58392, L: 28326, T: 13291
O_X_XO___ W: 58392, L: 28326, T: 13291
O_XOXO_X_ W: 58392, L: 28326, T: 13291
__XX_OO__ W: 58392, L: 28326, T: 13291
O_XX_OOX_ W: 58392, L: 28326, T: 13291
O_XXXOOXO W: 58392, L: 28326, T: 13291
O_______X W: 58392, L: 28326, T: 13291
O_X__O__X W: 58392, L: 28326, T: 13291
O_XX_OO_X W: 58392, L: 28326, T: 13291
O_XXOOOXX W: 58392, L: 28326, T: 13291
____OX___ W: 58392, L: 28326, T: 13291
X___OXO__ W: 58392, L: 28326, T: 13291
X__XOXOO_ W: 58392, L: 28326, T: 13291
___XO__XO W: 58392, L: 28326, T: 13291
_O_XOX_XO W: 58392, L: 28326, T: 13291
XOOXOX_XO W: 58392, L: 28326, T: 13291
X_______O W: 58392, L: 28326, T: 13291
X__X_O__O W: 58392, L: 28326, T: 13291
OX____OX_ W: 58392, L: 28326, T: 13291
OXOX__OX_ W: 58392, L: 28326, T: 13291
____XO___ W: 58392, L: 28326, T: 13291
_O__XOX__ W: 58392, L: 28326, T: 13291
XO__XOXO_ W: 58392, L: 28326, T: 13291
___OX____ W: 58392, L: 28326, T: 13291
XO_OX____ W: 58392, L: 28326, T: 13291
XOOOX_X__ W: 58392, L: 28326, T: 13291
XOOOXXXO_ W: 58392, L: 28326, T: 13291
___X_X_OO W: 58392, L: 28326, T: 13291
X__O_____ W: 58392, L: 28326, T: 13291
X__OXO___ W: 58392, L: 28326, T: 13291
XOXOXO___ W: 58392, L: 28326, T: 13291
O__X_____ W: 58392, L: 28326, T: 13291
OX_X_OX_O W: 58392, L: 28326, T: 13291
XX_O___O_ W: 58392, L: 28326, T: 13291
XXOOX__O_ W: 58392, L: 28326, T: 13291
_X___O_OX W: 58392, L: 28326, T: 13291
_XO_XO_OX W: 58392, L: 28326, T: 13291
_XOOXOXOX W: 58392, L: 28326, T: 13291
O____X___ W: 58392, L: 28326, T: 13291
O___XX__O W: 58392, L: 28326, T: 13291
OX__XXO_O W: 58392, L: 28326, T: 13291
O_X__O_X_ W: 58392, L: 28326, T: 13291
OXX__OOX_ W: 58392, L: 28326, T: 13291
OXX_OOOXX W: 58392, L: 28326, T: 13291
______O_X W: 58392, L: 28326, T: 13291
_____OOXX W: 58392, L: 28326, T: 13291
__XO_OOXX W: 58392, L: 28326, T: 13291
O_OXO_XX_ W: 58392, L: 28326, T: 13291
_O_____X_ W: 58392, L: 28326, T: 13291
_O____XXO W: 58392, L: 28326, T: 13291
_O_X_OXXO W: 58392, L: 28326, T: 13291
__O__XOX_ W: 58392, L: 28326, T: 13291
O_O__XOXX W: 58392, L: 28326, T: 13291
__OOX__X_ W: 58392, L: 28326, T: 13291
__OOXOXX_ W: 58392, L: 28326, T: 13291
XOOOXOXX_ W: 58392, L: 28326, T: 13291
_X__OO__X W: 58392, L: 28326, T: 13291
