_________ W: 56652, L: 116773, T: 26583
__O____X_ W: 28327, L: 58392, T: 13291
X_O___OX_ W: 28327, L: 58392, T: 13291
XXOO__OX_ W: 28327, L: 58392, T: 13291
O_______X W: 56652, L: 116773, T: 26583
O_O___X_X W: 28327, L: 58392, T: 13291
X____O___ W: 56652, L: 116773, T: 26583
X_X__OO__ W: 28327, L: 58392, T: 13291
X_XO_OOX_ W: 28327, L: 58392, T: 13291
__O__X___ W: 56652, L: 116773, T: 26583
X_O__X__O W: 28327, L: 58392, T: 13291
XXOO_X__O W: 28327, L: 58392, T: 13291
XXOOOXX_O W: 28327, L: 58392, T: 13291
_X__O____ W: 28327, L: 58392, T: 13291
XXO_O____ W: 28327, L: 58392, T: 13291
XXO_O__XO W: 28327, L: 58392, T: 13291
XXOOO_XXO W: 28327, L: 58392, T: 13291
_O_X_____ W: 56652, L: 116773, T: 26583
XO_X_O___ W: 28327, L: 58392, T: 13291
XO_X_OO_X W: 28327, L: 58392, T: 13291
XOXX_OOOX W: 28327, L: 58392, T: 13291
O__X_____ W: 56652, L: 116773, T: 26583
O_OX_X___ W: 28327, L: 58392, T: 13291
O_OX_XX_O W: 28327, L: 58392, T: 13291
_O__X____ W: 56652, L: 116773, T: 26583
_O_OX_X__ W: 56652, L: 116773, T: 26583
XO_OX_XO_ W: 28327, L: 58392, T: 13291
OX_______ W: 56652, L: 116773, T: 26583
OXX__O___ W: 56652, L: 116773, T: 26583
OXXO_O__X W: 28327, L: 58392, T: 13291
XO_______ W: 56652, L: 116773, T: 26583
XO__O___X W: 28327, L: 58392, T: 13291
XOO_O__XX W: 28327, L: 58392, T: 13291
XOOXOO_XX W: 28327, L: 58392, T: 13291
O_____X__ W: 56652, L: 116773, T: 26583
O___O_X_X W: 28327, L: 58392, T: 13291
_____OX__ W: 56652, L: 116773, T: 26583
___X_OXO_ W: 28327, L: 58392, T: 13291
O__XXOXO_ W: 28327, L: 58392, T: 13291
OXOXXOXO_ W: 28327, L: 58392, T: 13291
___X_O___ W: 28327, L: 58392, T: 13291
X__X_O_O_ W: 28327, L: 58392, T: 13291
O___X____ W: 56652, L: 116773, T: 26583
OO_XX____ W: 56652, L: 116773, T: 26583
___O____X W: 56652, L: 116773, T: 26583
___OOX__X W: 28327, L: 58392, T: 13291
OX_OOX__X W: 28327, L: 58392, T: 13291
_O___X___ W: 56652, L: 116773, T: 26583
_O__XX__O W: 28327, L: 58392, T: 13291
OO__XX_XO W: 28327, L: 58392, T: 13291
OOXOXX_XO W: 28327, L: 58392, T: 13291
X_____O__ W: 56652, L: 116773, T: 26583
X__O_XO__ W: 28327, L: 58392, T: 13291
XXOO_XO__ W: 56652, L: 116773, T: 26583
XXOOXXOO_ W: 56652, L: 116773, T: 26583
___X___O_ W: 28327, L: 58392, T: 13291
_O_XX__O_ W: 28327, L: 58392, T: 13291
_O_XX_XOO W: 28327, L: 58392, T: 13291
O_X______ W: 56652, L: 116773, T: 26583
O_XX_O___ W: 28327, L: 58392, T: 13291
O_XX_OXO_ W: 56652, L: 116773, T: 26583
OXXX_OXOO W: 28327, L: 58392, T: 13291
_______OX W: 56652, L: 116773, T: 26583
OX_____OX W: 28327, L: 58392, T: 13291
OX___OXOX W: 28327, L: 58392, T: 13291
OXXO_OXOX W: 28327, L: 58392, T: 13291
XOX____O_ W: 28327, L: 58392, T: 13291
_X___O___ W: 56652, L: 116773, T: 26583
_X__OO__X W: 28327, L: 58392, T: 13291
_X_XOOO_X W: 28327, L: 58392, T: 13291
____X___O W: 56652, L: 116773, T: 26583
O__XX___O W: 56652, L: 116773, T: 26583
O_XXX_O_O W: 28327, L: 58392, T: 13291
OXXXXOO_O W: 28327, L: 58392, T: 13291
____O_X__ W: 56652, L: 116773, T: 26583
___XO_X_O W: 28327, L: 58392, T: 13291
_X_XO_XOO W: 28327, L: 58392, T: 13291
O_X__O_X_ W: 28327, L: 58392, T: 13291
OXXO_O_X_ W: 28327, L: 58392, T: 13291
___O__X__ W: 28327, L: 58392, T: 13291
__OO__X_X W: 28327, L: 58392, T: 13291
X_OO_OX_X W: 28327, L: 58392, T: 13291
_____X__O W: 28327, L: 58392, T: 13291
__O__X_XO W: 28327, L: 58392, T: 13291
O_O_XX_XO W: 28327, L: 58392, T: 13291
____XX_OO W: 28327, L: 58392, T: 13291
__O_XXXOO W: 28327, L: 58392, T: 13291
___OX__OX W: 28327, L: 58392, T: 13291
_OXOX__OX W: 28327, L: 58392, T: 13291
_X_____O_ W: 56652, L: 116773, T: 26583
_XX__O_O_ W: 28327, L: 58392, T: 13291
_O_X_X_O_ W: 28327, L: 58392, T: 13291
XO_X_X_OO W: 28327, L: 58392, T: 13291
______O_X W: 56652, L: 116773, T: 26583
XO____O_X W: 28327, L: 58392, T: 13291
XOX__OO_X W: 28327, L: 58392, T: 13291
_O_____X_ W: 56652, L: 116773, T: 26583
_O__X__XO W: 28327, L: 58392, T: 13291
OOX_X__XO W: 28327, L: 58392, T: 13291
OOXXX_OXO W: 28327, L: 58392, T: 13291
OX___O_X_ W: 28327, L: 58392, T: 13291
X_O____OX W: 28327, L: 58392, T: 13291
___OX____ W: 56652, L: 116773, T: 26583
X_OOX____ W: 28327, L: 58392, T: 13291
XXOOX_O__ W: 28327, L: 58392, T: 13291
____X_O__ W: 56652, L: 116773, T: 26583
____X_OOX W: 28327, L: 58392, T: 13291
__XOX_OOX W: 28327, L: 58392, T: 13291
_OO_X_XXO W: 28327, L: 58392, T: 13291
___O_X___ W: 56652, L: 116773, T: 26583
O__O_XX__ W: 56652, L: 116773, T: 26583
OO_O_XXX_ W: 28327, L: 58392, T: 13291
OX__O___X W: 56652, L: 116773, T: 26583
OXO_O__XX W: 28327, L: 58392, T: 13291
__X_____O W: 28327, L: 58392, T: 13291
__XO___XO W: 28327, L: 58392, T: 13291
X_XO__OXO W: 28327, L: 58392, T: 13291
X___O____ W: 56652, L: 116773, T: 26583
XX__O__O_ W: 28327, L: 58392, T: 13291
