___X_____ W: 22321, L: 5101, T: 2587
___XXO___ W: 22321, L: 5101, T: 2587
___XXOOX_ W: 22321, L: 5101, T: 2587
XO_XXOOX_ W: 22321, L: 5101, T: 2587
_______X_ W: 22321, L: 5101, T: 2587
O______XX W: 22321, L: 5101, T: 2587
O_OX___XX W: 22321, L: 5101, T: 2587
OXOX_O_XX W: 22321, L: 5101, T: 2587
_X____OX_ W: 22321, L: 5101, T: 2587
_XXO__OX_ W: 22321, L: 5101, T: 2587
X____O_X_ W: 22321, L: 5101, T: 2587
XO___O_XX W: 22321, L: 5101, T: 2587
XO_XOO_XX W: 22321, L: 5101, T: 2587
__X______ W: 22321, L: 5101, T: 2587
OXX______ W: 22321, L: 5101, T: 2587
OXX_O___X W: 22321, L: 5101, T: 2587
OXXXO__OX W: 22321, L: 5101, T: 2587
________X W: 22321, L: 5101, T: 2587
_O____X_X W: 22321, L: 5101, T: 2587
XO____XOX W: 22321, L: 5101, T: 2587
XO_O_XXOX W: 22321, L: 5101, T: 2587
O__X___X_ W: 22321, L: 5101, T: 2587
O_OXX__X_ W: 22321, L: 5101, T: 2587
X________ W: 22321, L: 5101, T: 2587
X____O__X W: 22321, L: 5101, T: 2587
XO_X_O__X W: 22321, L: 5101, T: 2587
XO_X_OOXX W: 22321, L: 5101, T: 2587
____X____ W: 22321, L: 5101, T: 2587
_O__XX___ W: 22321, L: 5101, T: 2587
_OX_XX__O W: 22321, L: 5101, T: 2587
_X_____OX W: 22321, L: 5101, T: 2587
_X_XO__OX W: 22321, L: 5101, T: 2587
XXOXO__OX W: 22321, L: 5101, T: 2587
XX__O____ W: 22321, L: 5101, T: 2587
XX_OO_X__ W: 22321, L: 5101, T: 2587
XX_OOXXO_ W: 22321, L: 5101, T: 2587
_XOX_____ W: 22321, L: 5101, T: 2587
_XOXXO___ W: 22321, L: 5101, T: 2587
_XOXXOO_X W: 22321, L: 5101, T: 2587
______X__ W: 22321, L: 5101, T: 2587
___XO_X__ W: 22321, L: 5101, T: 2587
_X_XOOX__ W: 22321, L: 5101, T: 2587
_XOXOOXX_ W: 22321, L: 5101, T: 2587
__X_O__X_ W: 22321, L: 5101, T: 2587
O_X_OX_X_ W: 22321, L: 5101, T: 2587
OXX_OXOX_ W: 22321, L: 5101, T: 2587
_X_______ W: 22321, L: 5101, T: 2587
_X__OX___ W: 22321, L: 5101, T: 2587
XX__OXO__ W: 22321, L: 5101, T: 2587
X______XO W: 22321, L: 5101, T: 2587
XX___O_XO W: 22321, L: 5101, T: 2587
XO___X___ W: 22321, L: 5101, T: 2587
XO__XXO__ W: 22321, L: 5101, T: 2587
XO__XXOXO W: 22321, L: 5101, T: 2587
___O__XX_ W: 22321, L: 5101, T: 2587
_X_O_OXX_ W: 22321, L: 5101, T: 2587
_____XXO_ W: 22321, L: 5101, T: 2587
X__O_XXO_ W: 22321, L: 5101, T: 2587
X_XO_XXOO W: 22321, L: 5101, T: 2587
_XXO_____ W: 22321, L: 5101, T: 2587
_XXOX_O__ W: 22321, L: 5101, T: 2587
__XO_XXO_ W: 22321, L: 5101, T: 2587
___X__X_O W: 22321, L: 5101, T: 2587
O__X_XX_O W: 22321, L: 5101, T: 2587
O_XX_XXOO W: 22321, L: 5101, T: 2587
